iter	Passed	Remaining
839	54528	10386
840	54596	10322
841	54670	10258
842	54745	10195
843	54821	10132
844	54896	10069
845	54965	10005
846	55038	9942
847	55120	9880
848	55188	9815
849	55247	9749
850	55276	9678
851	55351	9615
852	55422	9551
853	55494	9487
854	55564	9423
855	55636	9359
856	55708	9295
857	55780	9231
858	55849	9167
859	55920	9103
860	55992	9039
861	56058	8974
862	56129	8910
863	56201	8846
864	56279	8783
865	56345	8718
866	56414	8654
867	56480	8589
868	56551	8525
869	56637	8463
870	56707	8398
871	56779	8334
872	56856	8271
873	56930	8207
874	57001	8143
875	57072	8078
876	57141	8014
877	57210	7949
878	57281	7885
879	57356	7821
880	57439	7758
881	57517	7695
882	57594	7631
883	57663	7566
884	57734	7502
885	57804	7437
886	57876	7373
887	57951	7309
888	58023	7244
889	58100	7180
890	58183	7117
891	58253	7053
892	58280	6983
893	58352	6918
894	58422	6854
895	58497	6789
896	58568	6725
897	58635	6660
898	58704	6595
899	58776	6530
900	58846	6465
901	58919	6401
902	58992	6337
903	59065	6272
904	59136	6207
905	59211	6143
906	59280	6078
907	59353	6013
908	59424	5949
909	59501	5884
910	59579	5820
911	59656	5756
912	59748	5693
913	59814	5628
914	59884	5563
915	59957	5498
916	60029	5433
917	60100	5368
918	60173	5303
919	60244	5238
920	60316	5173
921	60390	5108
922	60462	5044
923	60530	4978
924	60600	4913
925	60675	4848
926	60740	4783
927	60809	4717
928	60875	4652
929	60948	4587
930	61018	4522
931	61090	4457
932	61167	4392
933	61254	4328
934	61323	4263
935	61394	4197
936	61468	4132
937	61536	4067
938	61610	4002
939	61683	3937
940	61760	3872
941	61833	3807
942	61903	3741
943	61977	3676
944	62048	3611
945	62125	3546
946	62192	3480
947	62264	3415
948	62336	3350
949	62411	3284
950	62491	3219
951	62567	3154
952	62640	3089
953	62719	3024
954	62798	2959
955	62873	2893
956	62942	2828
957	63010	2762
958	63082	2696
959	63154	2631
960	63225	2565
961	63301	2500
962	63371	2434
963	63444	2369
964	63521	2303
965	63596	2238
966	63667	2172
967	63741	2107
968	63812	2041
969	63884	1975
970	63955	1910
971	64029	1844
972	64106	1778
973	64177	1713
974	64268	1647
975	64345	1582
976	64413	1516
977	64491	1450
978	64560	1384
979	64629	1318
980	64701	1253
981	64775	1187
982	64854	1121
983	64935	1055
984	65009	989
985	65081	924
986	65156	858
987	65227	792
988	65303	726
989	65379	660
990	65447	594
991	65516	528
992	65589	462
993	65665	396
994	65739	330
995	65815	264
996	65892	198
997	65962	132
998	66037	66
999	66104	0
